176.32048,-37.70965,"Papamoa Beach, Papamoa",0xb00,0x900,32461.0000
175.47329,-37.89002,Cambridge,0xb00,0xa00,13958.0000
175.77803,-37.80853,Matamata,0x800,0xa00,10759.0000
175.52846,-37.65763,Morrinsville,0x900,0xa00,10629.0000
175.26515,-37.72415,"Rototuna North, Hamilton",0xe00,0xb00,7618.0000
175.84155,-37.39162,Waihi,0x800,0xb00,7309.0000
176.30018,-38.13091,"Owhata, Rotorua",0xe00,0xb00,7101.0000
176.14067,-37.68757,"Brookfield, Tauranga",0xe00,0xb00,5923.0000
176.15745,-37.70819,"Tauranga South, Tauranga",0xe00,0xb00,5799.0000
175.21308,-38.18345,Otorohanga,0x800,0xb00,5635.0000
176.20512,-38.13779,"Pukehangi, Rotorua",0xe00,0xb00,5267.0000
175.67091,-37.37594,Paeroa,0x800,0xb00,5223.0000
177.29277,-38.00765,Opotiki,0x800,0xb00,5209.0000
176.24388,-38.15022,"Glenholme, Rotorua",0xe00,0xc00,4525.0000
176.13371,-37.73025,"Greerton, Tauranga",0xb00,0xc00,3552.0000
176.1694,-37.7275,"Hairini, Tauranga",0xb00,0xc00,3318.0000
177.05107,-37.97469,Ohope,0xb00,0xc00,3309.0000
176.14399,-37.72199,"Parkvale, Tauranga",0xe00,0xc00,3140.0000
175.30738,-37.76467,"Fairview Downs, Hamilton",0xb00,0xc00,3058.0000
176.25446,-38.0345,Hamurana,0xb00,0xc00,2847.0000
176.07466,-37.80715,Omanawa,0xb00,0xc00,2355.0000
175.20415,-37.99476,Pirongia,0xb00,0xc00,2239.0000
174.98425,-37.19054,Bombay,0xb00,0xc00,2198.0000
175.20584,-37.89886,Ngahinapouri,0xb00,0xc00,2198.0000
176.23255,-38.14914,"Hillcrest, Rotorua",0xe00,0xc00,2078.0000
175.22612,-37.8199,"Temple View, Hamilton",0xb00,0xc00,2011.0000
175.49026,-37.27571,Ngatea,0xb00,0xd00,1893.0000
176.2216,-38.15597,"Pomare, Rotorua",0xb00,0xd00,1876.0000
175.12022,-37.21938,Mangatawhiri,0xb00,0xd00,1670.0000
174.9156,-37.33199,Onewhero,0xb00,0xd00,1560.0000
176.45237,-37.75878,Maketu,0xb00,0xd00,1512.0000
176.08016,-38.62825,"Wairakei, Taupo",0xb00,0xd00,1453.0000
177.19252,-38.02551,"Waiotahe, Opotiki",0xb00,0xd00,1392.0000
175.54183,-37.92114,Karapiro,0xb00,0xd00,1358.0000
175.32208,-37.80602,"Riverlea, Hamilton",0xb00,0xd00,1319.0000
176.75474,-37.88916,Matata,0xb00,0xd00,1317.0000
175.30616,-37.85221,Rukuhia,0xb00,0xd00,1274.0000
177.95763,-38.62516,"Makauri, Gisborne",0xb00,0xd00,1195.0000
178.29908,-38.37142,Tolaga Bay,0xb00,0xd00,1180.0000
178.31036,-37.8923,Ruatoria,0xb00,0xd00,1146.0000
176.07878,-38.0928,Mamaku,0xb00,0xd00,1140.0000
176.35069,-38.0667,"Tikitere, Rotorua",0xb00,0xd00,1133.0000
174.73936,-37.30655,Otaua,0xb00,0xd00,1080.0000
175.54595,-37.81127,Te Miro,0xb00,0xd00,1027.0000
175.56105,-37.9692,Maungatautari,0xb00,0xe00,994.0000
175.66817,-37.79205,Richmond Downs,0xb00,0xe00,895.0000
174.81535,-37.20153,Mauku,0xb00,0xe00,888.0000
176.04036,-37.79943,Lower Kaimai,0xb00,0xe00,878.0000
175.1334,-37.91955,Te Pahu,0xb00,0xe00,863.0000
176.33282,-38.5129,Broadlands,0xb00,0xe00,824.0000
175.54595,-37.29766,Kerepehi,0xb00,0xe00,752.0000
175.64883,-38.07112,Arapuni,0xb00,0xe00,748.0000
175.6201,-37.59979,Waitoa,0xb00,0xe00,706.0000
175.06667,-37.32238,Meremere,0xb00,0xe00,705.0000
175.77116,-37.40752,"Waikino, Waihi",0xb00,0xe00,627.0000
175.13323,-37.43072,Rangiriri,0xb00,0xe00,627.0000
175.23605,-38.05593,Pokuru,0xb00,0xe00,611.0000
177.32436,-38.04885,"Otara, Opotiki",0xb00,0xe00,601.0000
177.89015,-38.62688,"Patutahi, Gisborne",0xb00,0xe00,581.0000
175.60223,-37.34298,Netherton,0xb00,0xe00,557.0000
175.67366,-37.57919,Waihou,0xb00,0xe00,534.0000
178.412,-37.79891,Tikitiki,0xb00,0xe00,529.0000
175.16705,-38.04864,Puketotara,0xb00,0xe00,529.0000
175.65444,-37.29217,Hikutaia,0xb00,0xe00,517.0000
175.56792,-37.52975,Springdale,0xb00,0xe00,513.0000
174.78375,-37.29354,Aka Aka,0xc00,0xe00,505.0000
176.03125,-38.39447,Atiamuri,0xc00,0xf00,499.0000
175.63107,-37.23174,Puriri,0xb00,0xf00,487.0000
176.2683,-37.70828,Kairua,0xb00,0xf00,485.0000
175.28069,-38.09565,Te Kawa,0xb00,0xf00,481.0000
177.12669,-38.12807,Nukuhou,0xe00,0xf00,446.0000
176.27467,-38.14672,"Ngapuna, Rotorua",0xe00,0xf00,404.0000
175.67915,-37.34435,Komata,0xb00,0xf00,386.0000
175.01997,-37.8511,Waitetuna,0xb00,0xf00,386.0000
175.60774,-37.49816,Otway,0xb00,0xf00,381.0000
177.92449,-38.60353,"Waerengaahika, Gisborne",0xb00,0xf00,378.0000
176.25044,-38.12988,"Ohinemutu, Rotorua",0xb00,0xf00,369.0000
176.26167,-38.3395,Waikite Valley,0xe00,0xf00,361.0000
176.64046,-38.00491,Manawahe,0xb00,0xf00,350.0000
175.57066,-37.18642,Kopu,0xb00,0xf00,330.0000
175.59515,-37.62131,Tatuanui,0xe00,0xf00,320.0000
175.60912,-37.20977,Matatoki,0xb00,0xf00,320.0000
175.72173,-37.42263,Karangahake,0xb00,0xf00,318.0000
175.26991,-37.47482,Waiterimu,0xb00,0xf00,314.0000
174.84831,-37.31689,Te Kohanga,0xb00,0xf00,307.0000
175.16415,-37.4913,Ohinewai,0xb00,0xf00,303.0000
174.95953,-37.44872,Glen Murray,0xb00,0xf00,287.0000
176.95082,-38.61452,Ruatahuna,0xb00,0xf00,278.0000
177.49188,-37.9495,Torere,0xb00,0xf00,277.0000
177.53722,-38.35771,Matawai,0xb00,0xf00,253.0000
175.67503,-37.6712,Ngarua,0xb00,0xf00,244.0000
175.78812,-38.16721,Wiltsdown,0xe00,0xf00,224.0000
177.13757,-38.04748,Kutarere,0xb00,0xf00,207.0000
175.54869,-37.57369,Te Puninga,0xb00,0xf00,204.0000
176.96612,-38.03337,White Pine Bush,0xb00,0x1000,192.0000
178.31036,-38.05709,Te Puia Springs,0xb00,0x1000,185.0000
175.93173,-37.45404,Athenree Gorge,0xc00,0x1000,168.0000
175.86774,-37.11318,Opoutere,0xb00,0x1000,160.0000
177.897,-38.52251,Waipaoa,0xb00,0x1000,156.0000
175.18887,-38.10357,Tihiroa,0xb00,0x1000,150.0000
174.92659,-38.05297,Oparau,0xb00,0x1000,148.0000
175.64482,-37.43911,Tirohia,0xb00,0x1000,119.0000
175.12984,-37.31139,Island Block,0xb00,0x1000,108.0000
177.94057,-38.58183,"Waihirere, Gisborne",0xb00,0x1000,105.0000
176.81797,-38.11357,Lake Matahina,0xe00,0x1000,102.0000
175.99754,-38.42541,Kinleith Forest,0xe00,0x1100,96.0000
177.18153,-38.08868,Waiotahe Valley,0xb00,0x1100,95.0000
174.95541,-37.51876,Naike,0xb00,0x1100,88.0000
175.90025,-38.09829,Ngatira,0xb00,0x1100,86.0000
175.19164,-37.25784,Kopuku,0xb00,0x1100,84.0000
176.14607,-37.95547,Ngawaro,0xb00,0x1100,75.0000
177.56056,-38.41951,Rakauroa,0xb00,0x1100,71.0000
174.83733,-38.25746,Te Anga,0xb00,0x1100,59.0000
177.58511,-37.87339,"Maraenui, Opotiki",0xb00,0x1100,58.0000
